"age","agecat","degree","educ","emailhrs","hrs1","ndegree","netcat","nethrs","sex","sphrs1","srcheng2","tvhours","usecomp","usemail","usenet","useweb","webhrs","hapmar","happy","speduc","rincome","life","income","maeduc","paeduc","marital","postlife","pres96","richwork","satjob","sibs","spdeg","spwrksta","vote96","wrkstat","zodiac","incomdol","rincdol","husbeduc","wifeduc","husbhr","wifehr","husbft","wifeft","wkftwife","wkfthusb"
54,"50-59","Less than HS",9,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","EXCITING","$8 000 TO 9 999",98,98,"DIVORCED","NAP","NAP","NAP","NA",1,"NAP","NAP","DID NOT VOTE","KEEPING HOUSE","GEMINI",9000,-2,NA,NA,NA,NA,NA,NA,NA,NA
29,"18-29","Less than HS",8,-1,35,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",99,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$30000 TO 34999","ROUTINE","$30000 TO 34999",8,11,"DIVORCED","YES","NAP","CONTINUE WORKING","MOD. SATISFIED",2,"NAP","NAP","DID NOT VOTE","WORKING PARTTIME","LIBRA",32500,32500,NA,NA,NA,NA,NA,NA,NA,NA
20,"18-29","Less than HS",11,0,40,"Less than high school","1+ to  4 hours",2,"Male",-1,"Explorer",2,"Yes","No","Yes","Yes",2,"NAP","PRETTY HAPPY",97,"$15000 TO 17499","NAP","$75000 TO $89999",97,97,"NEVER MARRIED","YES","NAP","NAP","MOD. SATISFIED",2,"NAP","NAP","INELIGIBLE","WORKING FULLTIME","LIBRA",82500,16250,NA,NA,NA,NA,NA,NA,NA,NA
78,"60-89","Less than HS",10,7,40,"Less than high school","More than 10",22,"Male",-1,"Yahoo",1,"Yes","Yes","Yes","Yes",15,"NAP","VERY HAPPY",97,"$10000 TO 12499","ROUTINE","$20000 TO 22499",98,98,"WIDOWED","NO","NAP","STOP WORKING","MOD. SATISFIED",11,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","SAGITTARIUS",21250,11250,NA,NA,NA,NA,NA,NA,NA,NA
80,"60-89","Less than HS",3,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",4,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","ROUTINE","$10000 TO 12499",98,98,"WIDOWED","NO","NAP","NAP","MOD. SATISFIED",5,"NAP","NAP","DONT KNOW/REMMBR","KEEPING HOUSE","PISCES",11250,-2,NA,NA,NA,NA,NA,NA,NA,NA
85,"60-89","Less than HS",11,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",6,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","DULL","$6 000 TO 6 999",98,98,"WIDOWED","NA","CLINTON","NAP","NAP",7,"NAP","NAP","VOTED","RETIRED","AQUARIUS",6500,-2,NA,NA,NA,NA,NA,NA,NA,NA
60,"60-89","Less than HS",9,-1,-1,"Less than high school","Not Internet user",-1,"Female",40,"Not applicable",4,"No","No","No","No",-1,"PRETTY HAPPY","PRETTY HAPPY",11,"$7 000 TO 7 999","NAP","$25000 TO 29999",6,6,"MARRIED","YES","CLINTON","NAP","NA",11,"LT HIGH SCHOOL","WORKING FULLTIME","VOTED","KEEPING HOUSE","CAPRICORN",27500,7500,11,9,40,NA,"Yes","No",0,1
30,"30-39","Less than HS",11,-1,87,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",1,"Yes","No answer","No","No",-1,"NAP","NOT TOO HAPPY",97,"$12500 TO 14999","NAP","$12500 TO 14999",97,97,"NEVER MARRIED","NO","NAP","NAP","A LITTLE DISSAT",7,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","VIRGO",13750,13750,NA,NA,NA,NA,NA,NA,NA,NA
76,"60-89","Less than HS",7,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",12,"No","No","No","No",-1,"NAP","NA",97,"NAP","NAP","UNDER $1 000",98,8,"NEVER MARRIED","YES","DOLE","NAP","NAP",4,"NAP","NAP","VOTED","RETIRED","LEO",500,-2,NA,NA,NA,NA,NA,NA,NA,NA
84,"60-89","Less than HS",11,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",11,"No","No","No","No",-1,"NAP","NA",97,"NAP","NAP","$15000 TO 17499",3,97,"WIDOWED","YES","CLINTON","NAP","NAP",6,"NAP","NAP","VOTED","RETIRED","CANCER",16250,-2,NA,NA,NA,NA,NA,NA,NA,NA
72,"60-89","Less than HS",8,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"PRETTY HAPPY","PRETTY HAPPY",8,"NAP","EXCITING","REFUSED",98,98,"MARRIED","NAP","DONT KNOW","NAP","NAP",5,"LT HIGH SCHOOL","KEEPING HOUSE","VOTED","RETIRED","ARIES",-1,-2,8,8,NA,NA,"No","No",0,0
78,"60-89","Less than HS",8,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",3,"No","No","No","No",-1,"NOT TOO HAPPY","PRETTY HAPPY",8,"NAP","ROUTINE","$20000 TO 22499",6,97,"MARRIED","NO","PEROT","NAP","NAP",6,"LT HIGH SCHOOL","KEEPING HOUSE","VOTED","RETIRED","LEO",21250,-2,8,8,NA,NA,"No","No",0,0
62,"60-89","Less than HS",11,-1,19,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",6,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",12,"$4 000 TO 4 999","EXCITING","$35000 TO 39999",9,98,"MARRIED","YES","CLINTON","CONTINUE WORKING","VERY SATISFIED",7,"HIGH SCHOOL","RETIRED","VOTED","WORKING PARTTIME","TAURUS",37500,4500,12,11,NA,19,"No","No",0,0
61,"60-89","Less than HS",8,-1,36,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",2,"Yes","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$20000 TO 22499","NAP","$20000 TO 22499",98,97,"SEPARATED","NO","CLINTON","NAP","VERY SATISFIED",2,"NAP","NAP","VOTED","WORKING FULLTIME","SAGITTARIUS",21250,21250,NA,NA,NA,NA,NA,NA,NA,NA
46,"40-49","Less than HS",9,-1,30,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$12500 TO 14999","EXCITING","$12500 TO 14999",12,98,"DIVORCED","NAP","CLINTON","CONTINUE WORKING","MOD. SATISFIED",4,"NAP","NAP","VOTED","WORKING PARTTIME","TAURUS",13750,13750,NA,NA,NA,NA,NA,NA,NA,NA
75,"60-89","Less than HS",11,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",12,"NAP","ROUTINE","$35000 TO 39999",4,4,"MARRIED","NAP","CLINTON","NAP","NA",11,"HIGH SCHOOL","RETIRED","VOTED","KEEPING HOUSE","PISCES",37500,-2,12,11,NA,NA,"No","No",0,0
76,"60-89","Less than HS",7,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","EXCITING","$7 000 TO 7 999",98,98,"DIVORCED","NAP","NAP","NAP","NAP",4,"NAP","NAP","DONT KNOW/REMMBR","RETIRED","CANCER",7500,-2,NA,NA,NA,NA,NA,NA,NA,NA
67,"60-89","Less than HS",9,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",5,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","ROUTINE","$12500 TO 14999",98,98,"DIVORCED","YES","NAP","NAP","NAP",3,"NAP","NAP","DID NOT VOTE","RETIRED","CAPRICORN",13750,-2,NA,NA,NA,NA,NA,NA,NA,NA
60,"60-89","Less than HS",11,2.5,27,"Less than high school","1+ to  4 hours",2.5,"Female",-1,"Not applicable",4,"Yes","Yes","Yes","No",0,"NAP","VERY HAPPY",97,"DK","EXCITING","DK",98,98,"WIDOWED","YES","CLINTON","STOP WORKING","VERY SATISFIED",5,"NAP","NAP","VOTED","WORKING PARTTIME","CAPRICORN",-2,-2,NA,NA,NA,NA,NA,NA,NA,NA
43,"40-49","Less than HS",10,-1,40,"Less than high school","Not Internet user",-1,"Male",50,"Not applicable",5,"No","No","No","No",-1,"PRETTY HAPPY","VERY HAPPY",12,"$40000 TO 49999","ROUTINE","$40000 TO 49999",0,99,"MARRIED","DK","NAP","STOP WORKING","VERY SATISFIED",6,"HIGH SCHOOL","WORKING FULLTIME","DID NOT VOTE","WORKING FULLTIME","CANCER",45000,45000,10,12,40,50,"Yes","Yes",1,1
47,"40-49","Less than HS",11,-1,40,"Less than high school","Not Internet user",-1,"Female",40,"Not applicable",1,"No","No","No","No",-1,"PRETTY HAPPY","PRETTY HAPPY",14,"$8 000 TO 9 999","NAP","$40000 TO 49999",12,12,"MARRIED","YES","DOLE","NAP","MOD. SATISFIED",4,"JUNIOR COLLEGE","WORKING FULLTIME","VOTED","WORKING FULLTIME","ARIES",45000,9000,14,11,40,40,"Yes","Yes",1,1
24,"18-29","Less than HS",11,-1,40,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"$8 000 TO 9 999","ROUTINE","$8 000 TO 9 999",10,97,"NEVER MARRIED","NAP","NAP","STOP WORKING","MOD. SATISFIED",3,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","ARIES",9000,9000,NA,NA,NA,NA,NA,NA,NA,NA
19,"18-29","Less than HS",11,0,20,"Less than high school","1+ to  4 hours",2,"Male",-1,"Yahoo",-1,"Yes","No","Yes","Yes",2,"NAP","PRETTY HAPPY",97,"$1 000 TO 2 999","EXCITING","DK",12,12,"NEVER MARRIED","NAP","NAP","CONTINUE WORKING","VERY DISSATISFIED",2,"NAP","NAP","INELIGIBLE","WORKING PARTTIME","LEO",-2,2000,NA,NA,NA,NA,NA,NA,NA,NA
27,"18-29","Less than HS",10,4,37,"Less than high school","4+ to 10 hours",5,"Male",-1,"Not applicable",2,"Yes","Yes","Yes","Yes",1,"PRETTY HAPPY","PRETTY HAPPY",9,"$17500 TO 19999","ROUTINE","$17500 TO 19999",13,12,"MARRIED","NO","NAP","CONTINUE WORKING","VERY SATISFIED",1,"HIGH SCHOOL","KEEPING HOUSE","DID NOT VOTE","WORKING FULLTIME","VIRGO",18750,18750,10,9,37,NA,"Yes","No",0,1
60,"60-89","Less than HS",6,-1,-1,"Less than high school","Not Internet user",-1,"Male",40,"Not applicable",2,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",13,"NAP","ROUTINE","$15000 TO 17499",8,0,"MARRIED","YES","NAP","NAP","VERY SATISFIED",10,"HIGH SCHOOL","WORKING FULLTIME","DID NOT VOTE","KEEPING HOUSE","PISCES",16250,-2,6,13,NA,40,"No","Yes",1,0
68,"60-89","Less than HS",8,-1,99,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",2,"No","No","No","No",-1,"VERY HAPPY","PRETTY HAPPY",12,"DK","NAP","REFUSED",97,6,"MARRIED","YES","DOLE","NAP","A LITTLE DISSAT",2,"HIGH SCHOOL","KEEPING HOUSE","VOTED","WORKING PARTTIME","AQUARIUS",-1,-2,8,12,NA,NA,"No","No",0,0
71,"60-89","Less than HS",8,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"PRETTY HAPPY","PRETTY HAPPY",8,"NAP","ROUTINE","REFUSED",8,8,"MARRIED","NAP","NAP","NAP","NAP",1,"LT HIGH SCHOOL","KEEPING HOUSE","INELIGIBLE","RETIRED","CANCER",-1,-2,8,8,NA,NA,"No","No",0,0
70,"60-89","Less than HS",8,-1,20,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",2,"No","No","No","No",-1,"PRETTY HAPPY","PRETTY HAPPY",3,"$3 000 TO 3 999","ROUTINE","$17500 TO 19999",99,98,"MARRIED","YES","NAP","CONTINUE WORKING","VERY SATISFIED",9,"LT HIGH SCHOOL","OTHER","DID NOT VOTE","WORKING PARTTIME","LEO",18750,3500,3,8,NA,20,"No","No",0,0
55,"50-59","Less than HS",11,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"NAP","DULL","$12500 TO 14999",12,98,"WIDOWED","NAP","NAP","NAP","NAP",6,"NAP","NAP","DID NOT VOTE","OTHER","PISCES",13750,-2,NA,NA,NA,NA,NA,NA,NA,NA
22,"18-29","Less than HS",8,0.333333333333333,-1,"Less than high school","One hour or less",0.833333333333333,"Female",-1,"Yahoo",2,"No","Yes","Yes","Yes",0.5,"NAP","VERY HAPPY",97,"$1 000 TO 2 999","EXCITING","$10000 TO 12499",98,11,"NEVER MARRIED","YES","NAP","CONTINUE WORKING","VERY SATISFIED",6,"NAP","NAP","DID NOT VOTE","TEMP NOT WORKING","LIBRA",11250,2000,NA,NA,NA,NA,NA,NA,NA,NA
59,"50-59","Less than HS",9,-1,40,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",10,"$15000 TO 17499","DK","$35000 TO 39999",97,12,"MARRIED","NAP","CLINTON","STOP WORKING","VERY SATISFIED",7,"LT HIGH SCHOOL","RETIRED","VOTED","WORKING FULLTIME","SCORPIO",37500,16250,10,9,NA,40,"No","Yes",1,0
31,"30-39","Less than HS",9,-1,38,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",2,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$17500 TO 19999","ROUTINE","$40000 TO 49999",10,98,"DIVORCED","YES","NAP","CONTINUE WORKING","MOD. SATISFIED",6,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","LEO",45000,18750,NA,NA,NA,NA,NA,NA,NA,NA
80,"60-89","Less than HS",9,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",2,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","NAP","DK",2,8,"WIDOWED","YES","CLINTON","NAP","NA",12,"NAP","NAP","VOTED","KEEPING HOUSE","GEMINI",-2,-2,NA,NA,NA,NA,NA,NA,NA,NA
18,"18-29","Less than HS",12,0.5,-1,"Less than high school","One hour or less",1,"Male",-1,"Not applicable",-1,"Yes","Yes","Yes","Yes",0.5,"NAP","NOT TOO HAPPY",97,"NAP","ROUTINE","$60000 TO 74999",16,16,"NEVER MARRIED","NAP","NAP","NAP","NAP",2,"NAP","NAP","INELIGIBLE","SCHOOL","ARIES",67500,-2,NA,NA,NA,NA,NA,NA,NA,NA
77,"60-89","Less than HS",11,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",5,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","DULL","$5 000 TO 5 999",98,97,"WIDOWED","YES","NAP","NAP","NAP",1,"NAP","NAP","DID NOT VOTE","RETIRED","TAURUS",5500,-2,NA,NA,NA,NA,NA,NA,NA,NA
38,"30-39","Less than HS",8,-1,50,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"Yes","No answer","No","No",-1,"NAP","PRETTY HAPPY",97,"$35000 TO 39999","EXCITING","$35000 TO 39999",16,97,"NEVER MARRIED","NAP","CLINTON","CONTINUE WORKING","MOD. SATISFIED",3,"NAP","NAP","VOTED","WORKING FULLTIME","LIBRA",37500,37500,NA,NA,NA,NA,NA,NA,NA,NA
72,"60-89","Less than HS",10,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",4,"No","No","No","No",-1,"NAP","VERY HAPPY",97,"NAP","NAP","$10000 TO 12499",12,97,"DIVORCED","NO","NAP","NAP","NAP",8,"NAP","NAP","DID NOT VOTE","RETIRED","SAGITTARIUS",11250,-2,NA,NA,NA,NA,NA,NA,NA,NA
43,"40-49","Less than HS",9,-1,-1,"Less than high school","Not Internet user",-1,"Female",48,"Not applicable",-1,"No","No","No","No",-1,"NOT TOO HAPPY","NOT TOO HAPPY",12,"$8 000 TO 9 999","EXCITING","$50000 TO 59999",97,97,"MARRIED","NAP","NAP","NAP","A LITTLE DISSAT",9,"HIGH SCHOOL","WORKING FULLTIME","DID NOT VOTE","KEEPING HOUSE","ARIES",55000,9000,12,9,48,NA,"Yes","No",0,1
66,"60-89","Less than HS",10,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",8,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","ROUTINE","$12500 TO 14999",97,97,"DIVORCED","DK","NAP","NAP","NAP",1,"NAP","NAP","INELIGIBLE","RETIRED","VIRGO",13750,-2,NA,NA,NA,NA,NA,NA,NA,NA
68,"60-89","Less than HS",8,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",2,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",98,"NAP","ROUTINE","$6 000 TO 6 999",8,8,"MARRIED","YES","CLINTON","NAP","NAP",9,"DK","OTHER","VOTED","RETIRED","PISCES",6500,-2,8,NA,NA,NA,"No","No",0,0
50,"50-59","Less than HS",11,-1,-1,"Less than high school","Not Internet user",-1,"Male",40,"Not applicable",-1,"No","No","No","No",-1,"PRETTY HAPPY","PRETTY HAPPY",12,"NAP","EXCITING","$15000 TO 17499",98,98,"MARRIED","NAP","NAP","NAP","NAP",8,"HIGH SCHOOL","WORKING FULLTIME","DONT KNOW/REMMBR","RETIRED","GEMINI",16250,-2,11,12,NA,40,"No","Yes",1,0
89,"60-89","Less than HS",9,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",5,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","NAP","$6 000 TO 6 999",98,98,"WIDOWED","YES","NA","NAP","NAP",11,"NAP","NAP","VOTED","RETIRED","PISCES",6500,-2,NA,NA,NA,NA,NA,NA,NA,NA
79,"60-89","Less than HS",4,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",1,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"NAP","ROUTINE","$4 000 TO 4 999",8,0,"WIDOWED","YES","NAP","NAP","NA",2,"NAP","NAP","DONT KNOW/REMMBR","KEEPING HOUSE","SAGITTARIUS",4500,-2,NA,NA,NA,NA,NA,NA,NA,NA
67,"60-89","Less than HS",8,-1,98,"Less than high school","Not Internet user",-1,"Male",24,"Not applicable",-1,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",12,"$90000- $109999","EXCITING","$90000 - $109999",6,5,"MARRIED","NAP","NAP","CONTINUE WORKING","MOD. SATISFIED",5,"HIGH SCHOOL","WORKING PARTTIME","DID NOT VOTE","WORKING PARTTIME","SCORPIO",1e+05,1e+05,8,12,NA,24,"No","No",0,0
66,"60-89","Less than HS",10,-1,-1,"Less than high school","Not Internet user",-1,"Male",40,"Not applicable",-1,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",12,"NA","EXCITING","$75000 TO $89999",98,98,"MARRIED","NAP","DOLE","NAP","NAP",2,"HIGH SCHOOL","WORKING FULLTIME","VOTED","RETIRED","PISCES",82500,-2,10,12,NA,40,"No","Yes",1,0
31,"30-39","Less than HS",8,-1,35,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",3,"No","No","No","No",-1,"NAP","VERY HAPPY",97,"$3 000 TO 3 999","EXCITING","$3 000 TO 3 999",98,97,"DIVORCED","NO","NAP","STOP WORKING","MOD. SATISFIED",16,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","GEMINI",3500,3500,NA,NA,NA,NA,NA,NA,NA,NA
44,"40-49","Less than HS",5,-1,40,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",8,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"$12500 TO 14999","EXCITING","$12500 TO 14999",0,0,"DIVORCED","YES","NAP","CONTINUE WORKING","VERY SATISFIED",10,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","LEO",13750,13750,NA,NA,NA,NA,NA,NA,NA,NA
38,"30-39","Less than HS",10,-1,40,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"VERY HAPPY","PRETTY HAPPY",12,"$15000 TO 17499","ROUTINE","$22500 TO 24999",97,12,"MARRIED","NAP","NAP","STOP WORKING","MOD. SATISFIED",10,"HIGH SCHOOL","KEEPING HOUSE","DID NOT VOTE","WORKING FULLTIME","LEO",23750,16250,10,12,40,NA,"Yes","No",0,1
89,"60-89","Less than HS",8,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",2,"No","No","No","No",-1,"NAP","VERY HAPPY",97,"NAP","NAP","$5 000 TO 5 999",6,98,"WIDOWED","YES","DOLE","NAP","NA",7,"NAP","NAP","VOTED","KEEPING HOUSE","SCORPIO",5500,-2,NA,NA,NA,NA,NA,NA,NA,NA
72,"60-89","Less than HS",11,-1,16,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",4,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$8 000 TO 9 999","ROUTINE","DK",97,98,"WIDOWED","NO","CLINTON","STOP WORKING","MOD. SATISFIED",2,"NAP","NAP","VOTED","WORKING PARTTIME","AQUARIUS",-2,9000,NA,NA,NA,NA,NA,NA,NA,NA
46,"40-49","Less than HS",11,-1,20,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",4,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"$5 000 TO 5 999","NAP","$5 000 TO 5 999",98,98,"DIVORCED","YES","PEROT","NAP","MOD. SATISFIED",5,"NAP","NAP","VOTED","WORKING PARTTIME","CAPRICORN",5500,5500,NA,NA,NA,NA,NA,NA,NA,NA
31,"30-39","Less than HS",8,-1,-1,"Less than high school","Not Internet user",-1,"Female",40,"Not applicable",2,"Yes","No","No","No",-1,"VERY HAPPY","VERY HAPPY",12,"NAP","NAP","DK",98,12,"MARRIED","YES","CLINTON","NAP","NAP",8,"HIGH SCHOOL","WORKING FULLTIME","VOTED","RETIRED","PISCES",-2,-2,12,8,40,NA,"Yes","No",0,1
39,"30-39","Less than HS",10,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"$25000 TO 29999","ROUTINE","$25000 TO 29999",97,97,"NEVER MARRIED","NAP","NAP","CONTINUE WORKING","VERY SATISFIED",2,"NAP","NAP","DID NOT VOTE","UNEMPL, LAID OFF","TAURUS",27500,27500,NA,NA,NA,NA,NA,NA,NA,NA
66,"60-89","Less than HS",8,-1,40,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",2,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$12500 TO 14999","EXCITING","$22500 TO 24999",12,8,"WIDOWED","YES","CLINTON","CONTINUE WORKING","MOD. SATISFIED",8,"NAP","NAP","VOTED","WORKING FULLTIME","GEMINI",23750,13750,NA,NA,NA,NA,NA,NA,NA,NA
