"state","region","pop","area","density","metro","waste","energy","miles","toxic","green","house","senate","csat","vsat","msat","percent","expense","income","high","college"
"Oklahoma","South",3146000,68679,45.810001373291,59.4000015258789,0.949999988079071,396,10500,10.5299997329712,27.9899997711182,31,20,997,476,521,9,3791,27475,74.5999984741211,17.7999992370605
"Oregon","West",2842000,96003,29.6000003814697,68.5,1.1599999666214,318,9400,7.98999977111816,13.8900003433228,57,20,922,439,483,54,5683,31755,81.5,20.6000003814697
"Pennsylvania","N. East",11882000,44820,265.100006103516,84.8000030517578,0.800000011920929,300,7200,7.51999998092651,21.2199993133545,34,63,876,417,459,67,6541,33875,74.6999969482422,17.8999996185303
"Rhode Island","N. East",1003000,1045,959.809997558594,92.5,1.20000004768372,218,7000,5.25,11.7600002288818,85,90,880,421,459,67,6343,37501,72,21.2999992370605
"South Carolina","South",3487000,30111,115.800003051758,60.5999984741211,1.14999997615814,330,9900,19.2800006866455,17.4400005340576,60,37,832,395,437,58,4351,30597,68.3000030517578,16.6000003814697
"South Dakota","Midwest",696000,75898,9.17000007629395,29.5,1.14999997615814,284,10000,4.21999979019165,22.5499992370605,69,37,1047,496,551,5,3965,26223,77.0999984741211,17.2000007629395
"Tennessee","South",4877000,41220,118.319999694824,67.6999969482422,1.02999997138977,350,9600,42.5400009155273,22.5200004577637,39,63,1015,487,528,12,3782,28908,67.0999984741211,16
"Texas","South",16987000,261914,64.8600006103516,81.5999984741211,1.05999994277954,569,9600,24.6499996185303,27.2600002288818,30,30,874,411,463,44,4438,31482,72.0999984741211,20.2999992370605
"Utah","West",1723000,82168,20.9699993133545,77.5,0.699999988079071,316,8500,72.8000030517578,25.3299999237061,31,13,1031,494,537,5,2960,34342,85.0999984741211,22.2999992370605
"Vermont","N. East",563000,9249,60.8699989318848,23.3999996185303,0.689999997615814,232,10400,1.80999994277954,15.1700000762939,85,94,890,424,466,68,6738,34717,80.8000030517578,24.2999992370605
"Virginia","South",6187000,39598,156.25,72.5,1.45000004768372,306,9700,12.8699998855591,18.7199993133545,33,54,890,424,466,60,4836,38838,75.1999969482422,24.5
"Washington","West",4867000,66582,73.0999984741211,81.6999969482422,1.04999995231628,389,9200,8.51000022888184,16.5100002288818,52,64,913,433,480,49,5000,36338,83.8000030517578,22.8999996185303
"West Virginia","South",1793000,24087,74.4400024414062,36.4000015258789,0.949999988079071,415,8600,21.2999992370605,51.1399993896484,48,57,926,441,485,17,4911,24233,66,12.3000001907349
"Wisconsin","Midwest",4892000,54314,90.0699996948242,67.4000015258789,0.699999988079071,288,9100,9.19999980926514,20.5799999237061,47,57,1023,481,542,11,5871,34309,78.5999984741211,17.7000007629395
"Wyoming","West",454000,97105,4.67999982833862,29.6000003814697,0.699999988079071,786,12800,25.5100002288818,114.400001525879,0,10,980,466,514,13,5723,31576,83,18.7999992370605
