"State","region","Date","Home.Value","Structure.Cost","Land.Value","Land.Share..Pct.","Home.Price.Index","Land.Price.Index"
"AK","West",20044,203372,135147,68225,33.5,1.339,1.587
"AK","West",20051,208336,137763,70573,33.9,1.371,1.644
"AK","West",20052,213254,139841,73413,34.4,1.404,1.714
"AK","West",20053,217997,141679,76318,35,1.435,1.786
"AK","West",20054,222350,143604,78746,35.4,1.463,1.846
"AK","West",20061,226205,145849,80356,35.5,1.489,1.888
"AK","West",20062,229457,148187,81270,35.4,1.51,1.913
"AK","West",20063,232018,150299,81718,35.2,1.527,1.927
"AK","West",20064,233911,151866,82046,35.1,1.54,1.939
"AK","West",20071,235143,152866,82276,35,1.548,1.949
"AK","West",20072,235638,153455,82183,34.9,1.551,1.95
"AK","West",20073,235356,154137,81219,34.5,1.549,1.93
"AK","West",20011,156664,110027,46637,29.8,1.031,1.041
"AK","West",20012,158847,111431,47415,29.8,1.045,1.062
"AK","West",20013,161139,112884,48255,29.9,1.061,1.084
"AK","West",20014,163439,114321,49118,30.1,1.076,1.107
"AK","West",20021,165712,115469,50243,30.3,1.091,1.134
"AK","West",20022,168051,116512,51538,30.7,1.106,1.166
"AK","West",20002,151936,106572,45364,29.9,1,1
"AK","West",20003,153173,107481,45692,29.8,1.008,1.009
"AK","West",19994,150376,105369,45007,29.9,0.99,0.994
"AK","West",20001,150995,105829,45166,29.9,0.994,0.994
"AK","West",20004,154736,108588,46148,29.8,1.018,1.023
"AL","South",19753,25342,24075,1267,5,0.227,0
"AL","South",19754,25779,24490,1289,5,0.231,0
"AL","South",19761,26343,25026,1317,5,0.236,0
"AL","South",19762,26981,25631,1349,5,0.242,0
"AL","South",19763,27696,26156,1540,5.6,0.248,0
"AL","South",19764,28492,26674,1818,6.4,0.255,0
"AL","South",19771,29353,27217,2136,7.3,0.263,0
"AL","South",19772,30256,27804,2452,8.1,0.271,0.001
"AL","South",19751,24648,23416,1232,5,0.221,0
"AL","South",19752,24970,23721,1248,5,0.224,0
"AL","South",19853,53321,50655,2666,5,0.477,0.005
"AL","South",19854,54280,51566,2714,5,0.486,0.006
"AL","South",19861,55295,52530,2765,5,0.495,0.007
"AL","South",19862,56356,53538,2818,5,0.504,0.009
"AL","South",19863,57427,54556,2871,5,0.514,0.011
"AL","South",19864,58462,55539,2923,5,0.523,0.015
"AL","South",19871,59414,56444,2971,5,0.532,0.018
"AL","South",19872,60255,57242,3013,5,0.539,0.021
"AL","South",19873,60986,57937,3049,5,0.546,0.025
"AL","South",19874,61646,58563,3082,5,0.552,0.028
"AL","South",19881,62281,59167,3114,5,0.558,0.031
"AL","South",19882,62843,59700,3142,5,0.563,0.034
"AL","South",19883,63331,60164,3167,5,0.567,0.036
"AL","South",19884,63805,60615,3190,5,0.571,0.037
"AL","South",19891,64346,61129,3217,5,0.576,0.04
"AL","South",19892,64975,61726,3249,5,0.582,0.043
"AL","South",19893,65656,62373,3283,5,0.588,0.048
"AL","South",19894,66319,63003,3316,5,0.594,0.053
"AL","South",19901,66945,63597,3347,5,0.599,0.059
"AL","South",19902,67566,64188,3378,5,0.605,0.065
"AL","South",19903,68128,64722,3406,5,0.61,0.072
"AL","South",19904,68741,65304,3437,5,0.615,0.08
"AL","South",19911,69437,65965,3472,5,0.622,0.09
"AL","South",19912,70215,66704,3511,5,0.629,0.102
"AL","South",19913,71060,67507,3553,5,0.636,0.119
"AL","South",19914,71970,68025,3945,5.5,0.644,0.141
"AL","South",19921,72946,68248,4698,6.4,0.653,0.168
"AL","South",19922,73984,68451,5533,7.5,0.662,0.198
"AL","South",19923,75103,68687,6416,8.5,0.672,0.23
"AL","South",19924,76275,69007,7269,9.5,0.683,0.261
"AL","South",19931,77470,69417,8053,10.4,0.693,0.288
"AL","South",19932,78681,69923,8758,11.1,0.704,0.314
"AL","South",19933,79918,70450,9469,11.8,0.715,0.339
"AL","South",19934,81161,70940,10221,12.6,0.727,0.366
"AL","South",19941,82388,71352,11036,13.4,0.737,0.396
"AL","South",19942,83574,71728,11846,14.2,0.748,0.426
"AL","South",19943,84698,72125,12573,14.8,0.758,0.452
"AL","South",19944,85783,72602,13182,15.4,0.768,0.475
"AL","South",19951,86854,73232,13622,15.7,0.777,0.493
"AL","South",19952,87942,73926,14016,15.9,0.787,0.509
"AL","South",19953,89068,74660,14407,16.2,0.797,0.524
"AL","South",19954,90219,75392,14827,16.4,0.808,0.54
"AL","South",19961,91392,76003,15389,16.8,0.818,0.56
"AL","South",19962,92567,76568,15999,17.3,0.829,0.583
"AL","South",19963,93706,77047,16659,17.8,0.839,0.608
"AL","South",19964,94810,77415,17395,18.3,0.849,0.636
"AL","South",19971,95874,77737,18137,18.9,0.858,0.665
"AL","South",19972,96911,78024,18887,19.5,0.868,0.694
"AL","South",19973,97972,78375,19598,20,0.877,0.722
"AL","South",19974,99081,78888,20192,20.4,0.887,0.745
"AL","South",19981,100277,79645,20633,20.6,0.898,0.764
"AL","South",19982,101564,80527,21037,20.7,0.909,0.781
"AL","South",19983,102910,81449,21461,20.9,0.921,0.799
"AL","South",19984,104270,82305,21965,21.1,0.933,0.819
"AL","South",19991,105597,82954,22643,21.4,0.945,0.846
"AL","South",19992,106889,83466,23424,21.9,0.957,0.876
"AL","South",19993,108151,83881,24270,22.4,0.968,0.909
"AL","South",19994,109388,84237,25150,23,0.979,0.942
"AL","South",20001,110578,84573,26005,23.5,0.99,0.972
"AL","South",20002,111712,84998,26714,23.9,1,1
"AL","South",20003,112818,85484,27334,24.2,1.01,1.025
"AL","South",20004,113938,86057,27881,24.5,1.02,1.048
"AL","South",20011,115113,86846,28267,24.6,1.03,1.068
"AL","South",20012,116339,87622,28717,24.7,1.041,1.088
"AL","South",20013,117608,88464,29144,24.8,1.053,1.106
"AL","South",20014,118935,89365,29569,24.9,1.065,1.123
"AL","South",20021,120327,90118,30210,25.1,1.077,1.145
"AL","South",20022,121798,90896,30902,25.4,1.09,1.172
"AL","South",20023,123363,91515,31848,25.8,1.104,1.209
"AL","South",20024,125023,91854,33169,26.5,1.119,1.26
"AL","South",20031,126736,92140,34596,27.3,1.134,1.318
"AL","South",20032,128506,92352,36154,28.1,1.15,1.379
"AL","South",20033,130339,92902,37436,28.7,1.167,1.429
"AL","South",20034,132242,94167,38075,28.8,1.184,1.455
"AL","South",20041,134312,96271,38041,28.3,1.202,1.454
"AL","South",20042,136634,99023,37611,27.5,1.223,1.439
"AL","South",20043,139229,101925,37304,26.8,1.246,1.429
"AL","South",20044,142081,104504,37577,26.4,1.272,1.441
"AL","South",20051,145214,106366,38848,26.8,1.3,1.491
"AL","South",20052,148632,107850,40782,27.4,1.33,1.567
"AL","South",20053,152334,109359,42975,28.2,1.364,1.654
"AL","South",20054,156229,111300,44929,28.8,1.398,1.733
"AL","South",20061,160127,113857,46270,28.9,1.433,1.789
"AL","South",20062,163828,116732,47097,28.7,1.467,1.824
"AL","South",20063,167193,119431,47762,28.6,1.497,1.854
"AL","South",20064,170125,121450,48675,28.6,1.523,1.893
"AL","South",20071,172520,122589,49931,28.9,1.544,1.948
"AL","South",20072,174309,123111,51197,29.4,1.56,2.001
"AL","South",20073,175428,123653,51775,29.5,1.57,2.027
"AL","South",19773,31160,28398,2762,8.9,0.279,0.001
"AL","South",19774,32038,28965,3073,9.6,0.287,0.001
"AL","South",19781,32932,29501,3432,10.4,0.295,0.001
"AL","South",19782,33887,30014,3874,11.4,0.303,0.001
"AL","South",19783,34903,30555,4348,12.5,0.312,0.001
"AL","South",19784,35877,31171,4707,13.1,0.321,0.001
"AL","South",19791,36794,31897,4898,13.3,0.329,0.001
"AL","South",19792,37622,32710,4912,13.1,0.337,0.001
"AL","South",19793,38364,33571,4793,12.5,0.343,0.001
"AL","South",19794,39021,34444,4577,11.7,0.349,0.001
"AL","South",19801,39571,35251,4320,10.9,0.354,0.001
"AL","South",19802,40193,36022,4171,10.4,0.36,0.001
"AL","South",19803,40879,36743,4136,10.1,0.366,0.001
"AL","South",19804,41487,37401,4086,9.8,0.371,0.001
"AL","South",19811,42014,38023,3990,9.5,0.376,0.001
"AL","South",19812,42480,38610,3870,9.1,0.38,0.001
"AL","South",19813,42853,39212,3641,8.5,0.384,0.001
"AL","South",19814,43112,39874,3238,7.5,0.386,0.001
"AL","South",19821,43381,40603,2778,6.4,0.388,0.001
"AL","South",19822,43764,41369,2395,5.5,0.392,0.001
"AL","South",19823,44318,42102,2216,5,0.397,0.001
"AL","South",19824,45043,42791,2252,5,0.403,0.001
"AL","South",19831,45803,43512,2290,5,0.41,0.001
"AL","South",19832,46540,44213,2327,5,0.417,0.001
"AL","South",19833,47302,44937,2365,5,0.423,0.001
"AL","South",19834,48088,45684,2404,5,0.43,0.001
"AL","South",19841,48919,46473,2446,5,0.438,0.002
"AL","South",19842,49676,47192,2484,5,0.445,0.002
"AL","South",19843,50368,47850,2518,5,0.451,0.002
"AL","South",19844,50986,48436,2549,5,0.456,0.003
"AL","South",19851,51646,49064,2582,5,0.462,0.003
"AL","South",19852,52429,49808,2621,5,0.469,0.004
"AL","South",20082,175371,129862,45509,25.9,1.57,1.79
"AL","South",20083,174720,132691,42030,24.1,1.564,1.654
"AL","South",20084,174088,134908,39180,22.5,1.558,1.543
"AL","South",20091,173553,135608,37945,21.9,1.554,1.495
"AL","South",20092,172968,135247,37720,21.8,1.548,1.487
"AL","South",20093,172175,133973,38202,22.2,1.541,1.506
"AL","South",20094,171089,131942,39147,22.9,1.532,1.543
"AL","South",20101,169370,130606,38764,22.9,1.516,1.526
"AL","South",20102,167278,129900,37378,22.3,1.497,1.471
"AL","South",20103,165080,130937,34143,20.7,1.478,1.345
"AL","South",20104,163046,134877,28169,17.3,1.46,1.11
"AL","South",20074,175915,124824,51091,29,1.575,2.004
"AL","South",20081,175841,127038,48803,27.8,1.574,1.917
"AL","South",20113,161417,146212,15205,9.4,1.445,0.601
"AL","South",20114,162626,146227,16399,10.1,1.456,0.649
"AL","South",20121,164409,146245,18164,11,1.472,0.719
"AL","South",20122,166454,146265,20189,12.1,1.49,0.8
"AL","South",20123,168519,146289,22231,13.2,1.509,0.882
"AL","South",20124,170671,146315,24357,14.3,1.528,0.967
"AL","South",20131,172864,146343,26521,15.3,1.547,1.054
"AL","South",20111,161583,139701,21881,13.5,1.446,0.864
"AL","South",20112,161018,144747,16271,10.1,1.441,0.643
"AR","South",19831,42813,40673,2141,5,0.443,0
"AR","South",19822,40142,38135,2007,5,0.416,0
"AR","South",19823,40942,38895,2047,5,0.424,0
"AR","South",19824,41848,39756,2092,5,0.433,0
"AR","South",19841,45967,43669,2298,5,0.476,0.001
"AR","South",19832,43768,41580,2188,5,0.453,0
"AR","South",19833,44630,42398,2231,5,0.462,0.001
"AR","South",19834,45360,43092,2268,5,0.47,0.001
"AR","South",19751,20050,19047,1002,5,0.208,0
"AR","South",19752,20234,19223,1012,5,0.21,0
"AR","South",19753,20524,19497,1026,5,0.213,0
"AR","South",19754,20939,19892,1047,5,0.217,0
"AR","South",19761,21530,20453,1076,5,0.223,0
"AR","South",19762,22232,21120,1112,5,0.23,0
"AR","South",19763,22976,21828,1149,5,0.238,0
"AR","South",19764,23721,22535,1186,5,0.246,0
"AR","South",19771,24472,23248,1224,5,0.253,0
"AR","South",19772,25251,23988,1263,5,0.262,0
"AR","South",19773,26058,24756,1303,5,0.27,0
"AR","South",19774,26871,25528,1344,5,0.278,0
"AR","South",19781,27684,26300,1384,5,0.287,0
"AR","South",19782,28550,26942,1608,5.6,0.296,0
"AR","South",19783,29511,27498,2013,6.8,0.306,0
"AR","South",19784,30588,28171,2417,7.9,0.317,0
"AR","South",19791,31794,28967,2827,8.9,0.329,0
"AR","South",19792,33027,29858,3169,9.6,0.342,0
"AR","South",19793,34202,30775,3427,10,0.354,0
"AR","South",19794,35239,31649,3590,10.2,0.365,0
"AR","South",19801,36139,32393,3746,10.4,0.374,0
"AR","South",19802,36972,33055,3917,10.6,0.383,0
"AR","South",19803,37739,33664,4075,10.8,0.391,0
"AR","South",19804,38354,34251,4103,10.7,0.397,0
"AR","South",19811,38763,34873,3889,10,0.401,0
"AR","South",19812,38976,35505,3471,8.9,0.404,0
"AR","South",19813,39098,36153,2945,7.5,0.405,0
"AR","South",19814,39221,36821,2399,6.1,0.406,0
"AR","South",19821,39550,37483,2068,5.2,0.41,0
"AR","South",19921,61380,58311,3069,5,0.636,0.015
"AR","South",19922,62224,59113,3111,5,0.644,0.018
"AR","South",19923,63165,60007,3158,5,0.654,0.022
"AR","South",19924,64220,61009,3211,5,0.665,0.028
"AR","South",19931,65399,62129,3270,5,0.677,0.037
"AR","South",19932,66669,63336,3333,5,0.69,0.048
"AR","South",19933,67992,64592,3400,5,0.704,0.063
"AR","South",19934,69332,65865,3467,5,0.718,0.081
"AR","South",19941,70684,67150,3534,5,0.732,0.103
"AR","South",19942,71985,68385,3599,5,0.746,0.128
"AR","South",19943,73231,69569,3662,5,0.758,0.157
"AR","South",19944,74441,70719,3722,5,0.771,0.196
"AR","South",19951,75599,71707,3892,5.1,0.783,0.245
"AR","South",19952,76727,71887,4840,6.3,0.795,0.305
"AR","South",19953,77804,72124,5680,7.3,0.806,0.358
"AR","South",19954,78800,72528,6272,8,0.816,0.396
"AR","South",19961,79722,73137,6584,8.3,0.826,0.416
"AR","South",19962,80579,73890,6689,8.3,0.835,0.423
"AR","South",19963,81391,74642,6749,8.3,0.843,0.428
"AR","South",19964,82203,75256,6947,8.5,0.851,0.441
"AR","South",19971,83021,75631,7390,8.9,0.86,0.47
"AR","South",19972,83837,75862,7975,9.5,0.868,0.508
"AR","South",19973,84664,76078,8586,10.1,0.877,0.548
"AR","South",19974,85521,76408,9113,10.7,0.886,0.583
"AR","South",19981,86419,76957,9462,10.9,0.895,0.607
"AR","South",19982,87389,77628,9762,11.2,0.905,0.627
"AR","South",19983,88463,78308,10155,11.5,0.916,0.654
"AR","South",19984,89582,78883,10700,11.9,0.928,0.69
"AR","South",19991,90728,79260,11468,12.6,0.94,0.742
"AR","South",19992,91884,79515,12369,13.5,0.952,0.801
"AR","South",19993,93040,79747,13292,14.3,0.964,0.862
"AR","South",19994,94196,80060,14137,15,0.976,0.918
"AR","South",20001,95360,80542,14818,15.5,0.988,0.962
"AR","South",20002,96557,81183,15374,15.9,1,1
"AR","South",20003,97768,81902,15866,16.2,1.013,1.034
"AR","South",20004,99013,82645,16367,16.5,1.025,1.069
"AR","South",20011,100293,83398,16894,16.8,1.039,1.11
"AR","South",20012,101600,84101,17499,17.2,1.052,1.152
"AR","South",20013,102967,84831,18136,17.6,1.066,1.196
"AR","South",20014,104397,85624,18773,18,1.081,1.24
"AR","South",20021,105919,86377,19543,18.5,1.097,1.29
"AR","South",20022,107543,87158,20385,19,1.114,1.347
"AR","South",20023,109256,87810,21446,19.6,1.132,1.418
"AR","South",20024,111085,88209,22876,20.6,1.15,1.515
"AR","South",20031,113053,88526,24527,21.7,1.171,1.629
"AR","South",20032,115163,88787,26375,22.9,1.193,1.754
"AR","South",20033,117422,89354,28068,23.9,1.216,1.87
"AR","South",20034,119805,90568,29236,24.4,1.241,1.951
"AR","South",20041,122310,92547,29764,24.3,1.267,1.988
"AR","South",20042,124901,95093,29808,23.9,1.294,1.994
"AR","South",20043,127569,97755,29814,23.4,1.321,1.998
"AR","South",20044,130311,100095,30216,23.2,1.35,2.028
"AR","South",20051,133116,101827,31289,23.5,1.379,2.104
"AR","South",20052,135982,103253,32729,24.1,1.408,2.205
"AR","South",20053,138886,104821,34066,24.5,1.438,2.3
"AR","South",20054,141732,106980,34752,24.5,1.468,2.352
"AR","South",20061,144397,109894,34503,23.9,1.495,2.341
"AR","South",20062,146812,113237,33575,22.9,1.52,2.283
"AR","South",20063,148915,116429,32486,21.8,1.542,2.214
"AR","South",20064,150666,118873,31793,21.1,1.56,2.172
"AR","South",20071,152036,120213,31823,20.9,1.575,2.18
"AR","South",20072,153027,120815,32212,21.1,1.585,2.211
"AR","South",20073,153543,121309,32233,21,1.59,2.216
"AR","South",20074,153582,122318,31264,20.4,1.591,2.153
"AR","South",20081,153244,124332,28912,18.9,1.587,1.994
"AR","South",20082,152768,126926,25842,16.9,1.582,1.785
"AR","South",20083,152298,129554,22744,14.9,1.577,1.572
"AR","South",20084,151913,131665,20247,13.3,1.573,1.4
"AR","South",20091,151713,132446,19268,12.7,1.571,1.333
"AR","South",20092,151720,132293,19427,12.8,1.571,1.345
"AR","South",20093,151781,131335,20447,13.5,1.572,1.416
"AR","South",20094,151663,129701,21961,14.5,1.571,1.521
"AR","South",20101,151148,128556,22592,14.9,1.565,1.563
"AR","South",20102,150548,127814,22734,15.1,1.559,1.573
"AR","South",20103,149840,128360,21480,14.3,1.552,1.487
"AR","South",20104,149371,131102,18269,12.2,1.547,1.265
"AR","South",20111,149406,134737,14669,9.8,1.547,1.017
"AR","South",20112,149993,138740,11253,7.5,1.553,0.781
"AR","South",20113,151285,140399,10886,7.2,1.567,0.756
"AR","South",20114,153134,140410,12724,8.3,1.586,0.884
"AR","South",20121,155287,140424,14863,9.6,1.608,1.034
"AR","South",20122,157563,140441,17122,10.9,1.632,1.192
"AR","South",20123,159773,140462,19311,12.1,1.655,1.346
"AR","South",20124,161985,140487,21498,13.3,1.678,1.5
"AR","South",20131,164279,140514,23765,14.5,1.701,1.661
"AR","South",19862,51635,48925,2709,5.2,0.535,0.005
"AR","South",19863,52224,49048,3176,6.1,0.541,0.005
"AR","South",19864,52721,49243,3478,6.6,0.546,0.006
"AR","South",19871,53101,49544,3557,6.7,0.55,0.006
"AR","South",19872,53336,49920,3416,6.4,0.552,0.006
"AR","South",19842,46482,44158,2324,5,0.481,0.001
"AR","South",19843,46974,44626,2349,5,0.486,0.001
"AR","South",19844,47484,45109,2374,5,0.492,0.001
"AR","South",19851,48035,45633,2402,5,0.497,0.002
"AR","South",19852,48662,46229,2433,5,0.504,0.002
"AR","South",19853,49397,46928,2470,5,0.512,0.002
"AR","South",19854,50170,47662,2509,5,0.52,0.003
"AR","South",19861,50933,48386,2547,5,0.527,0.004
"AR","South",19893,55788,52999,2789,5,0.578,0.006
"AR","South",19894,56184,53375,2809,5,0.582,0.006
"AR","South",19901,56599,53769,2830,5,0.586,0.006
"AR","South",19902,57042,54190,2852,5,0.591,0.007
"AR","South",19903,57468,54595,2873,5,0.595,0.007
"AR","South",19873,53432,50321,3111,5.8,0.553,0.005
"AR","South",19874,53508,50699,2809,5.2,0.554,0.005
"AR","South",19881,53680,50994,2686,5,0.556,0.005
"AR","South",19882,53935,51238,2697,5,0.559,0.005
"AR","South",19883,54245,51532,2712,5,0.562,0.005
"AR","South",19884,54596,51866,2730,5,0.565,0.005
"AR","South",19891,54982,52233,2749,5,0.569,0.005
"AR","South",19892,55385,52615,2769,5,0.574,0.006
"AR","South",19913,59847,56855,2992,5,0.62,0.011
"AR","South",19904,57945,55048,2897,5,0.6,0.007
"AR","South",19911,58504,55579,2925,5,0.606,0.008
"AR","South",19912,59140,56183,2957,5,0.612,0.009
"AR","South",19914,60599,57569,3030,5,0.628,0.013
"AZ","West",19814,70886,45431,25454,35.9,0.441,0.229
"AZ","West",19821,71100,46370,24730,34.8,0.442,0.224
"AZ","West",19802,63902,40914,22987,36,0.397,0.199
"AZ","West",19803,65710,41831,23879,36.3,0.409,0.208
"AZ","West",19804,67346,42611,24735,36.7,0.419,0.217
"AZ","West",19811,68756,43324,25433,37,0.427,0.225
"AZ","West",19812,69883,43978,25904,37.1,0.434,0.231
"AZ","West",19813,70605,44653,25952,36.8,0.439,0.232
"AZ","West",19751,33346,26096,7250,21.7,0.207,0.053
"AZ","West",19752,33458,26406,7052,21.1,0.208,0.052
"AZ","West",19753,33551,26645,6906,20.6,0.209,0.051
"AZ","West",19754,33738,26863,6875,20.4,0.21,0.051
"AZ","West",19761,34138,27169,6969,20.4,0.212,0.052
"AZ","West",19762,34697,27505,7192,20.7,0.216,0.054
"AZ","West",19763,35284,27892,7392,20.9,0.219,0.056
