text,searchloc
Would Ms. Welker have made that tweet if the Patriots won?,baltimore
Baltimore Ravens' Terrell Suggs rips New England Patriots after AFC ... http://t.co/zojBbKv8,baltimore
RT @W_Pearre13: @welcome_2KBToys right we have alot patriots need to get it again cuz they havent won it since 04 the longest of all NE  ...,baltimore
@welcome_2KBToys right we have alot patriots need to get it again cuz they havent won it since 04 the longest of all NE teams,baltimore
Torrey Smith says Patriots' fans have sent him rude tweets about his brother's death http://t.co/ARwh6Geg,baltimore
"CBS's Shannon Sharpe, Terrell Suggs rip Patriots http://t.co/J5OHLgYO",baltimore
Patriots fans sending jacked up tweets to Torrey Smith about his dead brother.... SMH... He got off on yall twice...,baltimore
RT @EdReedHub: Reed 'all good' with Brady after QB apology http://t.co/4oXYNuSl,baltimore
Patriots fans are salty.... Yall havent won a chip since Belicheck got caught cheating lol,baltimore
Reed 'all good' with Brady after QB apology http://t.co/4oXYNuSl,baltimore
RT @sportswcoleman: This is the Perfect @Ravens comeback for #Patriots @1057TheFan http://t.co/WK9oY7WR,baltimore
RT @W_Pearre13: @welcome_2KBToys right i might have to deck this one kid in the face hes to annoying abbout it and i dont take patriots  ...,baltimore
@welcome_2KBToys right i might have to deck this one kid in the face hes to annoying abbout it and i dont take patriots losses lightly,baltimore
RT @AdaOrie1: My DVR is set.  RT @rvngirl: #Ravens vs. Patriots AFCCG on NFL Replay tomorrow at 8pm.,baltimore
"#Patriots fans, you are trash. @TorreySmithWR is an inspiration &amp; his grace under tragedy is why I wear his jersey. http://t.co/kKgPDLPn",baltimore
@FemmePolitique @DashingDave314 @artty1478 @TorreySmithWR Attention starved like the patriots. Pay them no mind and they'll wither away.,baltimore
@ColinVandy I'm telling you the Falcons and the Patriots were rigged!!,baltimore
i hate all this patriots news coverage. no more football.,baltimore
@gyeisley20 @stevenyeisley let's be real. The Yankees are like the Patriots. People THINK they good but when did they last win shit?,baltimore
Happy I could help! #SuperBowl oh &amp; Brian told me u were doing your best to find me a #Patriots can @NoIdeaTavern very thoughtful Thank You!,baltimore
"RT @Emilio1: Eliminan a los Patriots, a las Aguilas, hoy perdieron los Celtics… deja llamar a la novia a ver si todavía tenemos amores…",baltimore
RT @Nojogolf: Just a reminder to all you would-be confederate patriots: The Union Army has got waay better stuff than the last time you  ...,baltimore
RT @AdaOrie1: My DVR is set.  RT @rvngirl: #Ravens vs. Patriots AFCCG on NFL Replay tomorrow at 8pm.,baltimore
My DVR is set.  RT @rvngirl: #Ravens vs. Patriots AFCCG on NFL Replay tomorrow at 8pm.,baltimore
@ShannonSharpe  Classy Pats fans ? http://t.co/Y8MxSuk2,baltimore
"RT @Emilio1: Eliminan a los Patriots, a las Aguilas, hoy perdieron los Celtics… deja llamar a la novia a ver si todavía tenemos amores…",baltimore
"RT @darrellgreen28: Big love to our cross town rivals and friends to the north, the Ravens on their big win over the Patriots to make it ...",baltimore
RT @TylerJonesW: This is disgraceful and disgusting. The @Patriots should be embarrassed to have these people as fans. http://t.co/u6wtn3qR,baltimore
RT @TylerJonesW: So many articles and comments this morning from all over on what a disaster the @patriots fan base is. The @patriots sh ...,baltimore
"Terrell Suggs Calls Patriots 'Arrogant [Expletives],' Finds It Funny They ... http://t.co/915cTFQ3",baltimore
@G_Reynolds3 it was even better cause the Ravens won and all the patriots fans got salty,baltimore
"RT @Emilio1: Eliminan a los Patriots, a las Aguilas, hoy perdieron los Celtics… deja llamar a la novia a ver si todavía tenemos amores…",baltimore
"RT @Emilio1: Eliminan a los Patriots, a las Aguilas, hoy perdieron los Celtics… deja llamar a la novia a ver si todavía tenemos amores…",baltimore
"RT @Emilio1: Eliminan a los Patriots, a las Aguilas, hoy perdieron los Celtics… deja llamar a la novia a ver si todavía tenemos amores…",baltimore
"RT @Emilio1: Eliminan a los Patriots, a las Aguilas, hoy perdieron los Celtics… deja llamar a la novia a ver si todavía tenemos amores…",baltimore
"RT @Emilio1: Eliminan a los Patriots, a las Aguilas, hoy perdieron los Celtics… deja llamar a la novia a ver si todavía tenemos amores…",baltimore
"Eliminan a los Patriots, a las Aguilas, hoy perdieron los Celtics… deja llamar a la novia a ver si todavía tenemos amores…",baltimore
&amp; Yu took my patriots snow hat!!,baltimore
"RT @DianaLlauget: here's no debate, @Gillette &amp; the @Patriots are the best! RT if u agree &amp;enter to win an exclusive #Pats foam  ...",baltimore
"RT @Ravens: #Ravens defeat Patriots, 28-13, to win the AFC championship! RT if you're ready for the Super Bowl!!!",baltimore
I have nothing against the Patriots but Fuck Wes Walker wife for that ignorant ass post she wrote Sunday #RavensNation all day everyday,baltimore
@BitchMobDragon LMFAO and the Patriots lost. This isn't your week...,baltimore
Don King.......... has been retained by Tom Brady.  Don will be Tom's public spokesperson..#Newengland @Track_Patriots,baltimore
Okay...so go Bruins? #Celtics #Patriots #RedSox,baltimore
@cheraub yeah!! I wish @raylewis the best of luck. may the patriots get what they dished out to him! :),baltimore
RT @RavensHypeMan: #RavenNation LMAO!!!!!!!!!! Typical New England Patriots Fan crying about getting crushed by the Bal...: http://t.co/ ...,baltimore
"Cool - I'm impressed: ""Tom Brady texts Ed Reed to apologize for sliding kick http://t.co/VlmSuEcA via @USATODAY ""  #Ravens  #RavensNation",baltimore
RT @EdReedHub: Tom Brady texts Ed Reed to apologize for sliding kick http://t.co/JSQWxmFo,baltimore
RT @RavensHypeMan: #RavenNation LMAO!!!!!!!!!! Typical New England Patriots Fan crying about getting crushed by the Bal...: http://t.co/ ...,baltimore
Did anybody notice but me but since the patriots lost everybody is hurt and not playing in the pro bowl? Huumm?,baltimore
"RT @Ravens: #Ravens defeat Patriots, 28-13, to win the AFC championship! RT if you're ready for the Super Bowl!!!",baltimore
RT @RavensHypeMan: #RavenNation LMAO!!!!!!!!!! Typical New England Patriots Fan crying about getting crushed by the Bal...: http://t.co/ ...,baltimore
#RavenNation LMAO!!!!!!!!!! Typical New England Patriots Fan crying about getting crushed by the Bal...: http://t.co/M1cZoGhi via @youtube,baltimore
RT @LaurelMemories: NFL:The Patriots(gif)..#NFL..#Patriots     http://t.co/Qy8zYCv9,baltimore
NFL:The Patriots(gif)..#NFL..#Patriots     http://t.co/Qy8zYCv9,baltimore
"RT @DamStone: ----&gt; RT @CaptainComeback: #Patriots offensive meltdowns in playoffs, 2005-12: http://t.co/hcmWvB6M http://t.co/2bNMsmV7",baltimore
@NytFury @awakegop My sisters from the start! Great Patriots believe me!,baltimore
RT @JessieJaneDuff: All the Patriots together. Sweet! RT @MinuteMan1776 @FSM_47 @coachcarter32 @DHochPA @Doug_Myers @wrichardf @iluvcgar ...,baltimore
Can Baltimore Ravens linebacker Ray Lewis stop New England Patriots tight end Aaron Hernandez? http://t.co/3YYq5OhP,baltimore
"Not a witch, @ScottFreese : Nate Silver predicts Seahawks v. Patriots in Super Bowl. http://t.co/uy6koGXA",baltimore
2010 Topps Platinum REFRACTOR AUTOGRAPH Zac Robinson Patriots #363/1099 on eBid United States http://t.co/3zJhHj28 via @ebid,baltimore
2010 Topps Platinum REFRACTOR AUTOGRAPH Taylor Price Patriots #132/900 on eBid United States http://t.co/WOtTcdHr via @ebid,baltimore
"RT @DamStone: ----&gt; RT @CaptainComeback: #Patriots offensive meltdowns in playoffs, 2005-12: http://t.co/4RJUAttc http://t.co/XMmbCuY9",baltimore
"----&gt; RT @CaptainComeback: #Patriots offensive meltdowns in playoffs, 2005-12: http://t.co/hcmWvB6M http://t.co/2bNMsmV7",baltimore
"Oh, my. #ravens #patriots #weswelker #raylewis USA TODAY http://t.co/wYcVjEmJ",baltimore
"We're joined now by David Thomas Roberts, author of ""Patriots of Treason."" He is a member of the Texas Nationalist Movement.",baltimore
Patriots fans taunting Torey Smith about his brother's death that puts me in RAGE,baltimore
women's basketball | Northeastern Huskies 60 George Mason Patriots 51 (final) | #masonwbb #ncaaw,baltimore
2010 Topps Platinum BLUE REFRACTOR AUTOGRAPH Zac Robinson #598/599 Patriots on eBid United States http://t.co/qFgjEp3l via @ebid,baltimore
"the last 2 times the #SuperBowl was on my birthday the patriots were in it (2000,2007) but not this year 😏",baltimore
2010 Topps Platinum BLUE REFRACTOR AUTOGRAPH Taylor Price #160/599 Patriots on eBid United States http://t.co/wBaMtnVO via @ebid,baltimore
"RT @ThePresObama: Hey Chip Kelly, you know who is tougher to beat than Alabama?? The New England Patriots... #goodluck",baltimore
RT @langdondolphino: Dis nigga @Polo_Trinalana been missing since da Patriots game.. Gotta APB for dat Dough Cheese..,baltimore
NFL reviewing Tom Brady's slide - ESPN http://t.co/CkdqoaHl #Ravens #Baltimore,baltimore
"It started off, ""Well you won't beat the Broncos"". Then it was, ""Well you won't beat the Patriots"". Now it's, ""Well you wont beat the 49ers""",baltimore
"RT @StarSpangled200: Maryland fans put the ""O"" in ""O, say can you see..."" http://t.co/V12sGTg4",baltimore
"RT @kikobrown: @hollyR_J Patriots: War is on!Make phone calls, write letters.Good place to start, Ask your news station was an AR-15 use ...",baltimore
"Random use of the Caps' goal horn for a promo. Clearly, taking cues from the Patriots.",baltimore
@NFL fun story... @Ravens vs. @Patriots serves up the ‘Clash of the Crustaceans.' Maryland crabs vs. New England clams http://t.co/tM3aUqTS,baltimore
@NFL fun story... @Ravens vs. @Patriots serves up the ‘Clash of the Crustaceans.' Maryland crabs vs. New England clams http://t.co/W5HdlVIx,baltimore
@Bbolewicki3 i love the patriots....the fans aren't the patriots....,baltimore
"RT @JJtheKid30: Patriots fans are classless man. Talking about Torrey's dead brother is not funny in any way, shape or form. More reason ...",baltimore
"Patriots fans are classless man. Talking about Torrey's dead brother is not funny in any way, shape or form. More reason to hate you guys.",baltimore
If you missed it: How Aqib Talib’s injury might prevent the #Patriots from resigning him  (http://t.co/X5roba0p),baltimore
